question,answer
senarai dokumen yang perlu pelajar baharu bawa,"Berikut merupakan checklist untuk pendaftaran pelajar baharu.
1. Mencetak Surat Tawaran Kemasukan ke Universiti Teknologi MARA (4 salinan)
2. Mencetak Bil Bayaran Yuran Pelajar
3. Cetak dan Lengkapkan semua borang yang disertakan:
     a) Borang Pendaftaran Pelajar Baru Sepenuh Masa
     b) Borang Maklumat Pelajar Baru
     c) Laporan Pemeriksaan Kesihatan
     d) Borang Pengesahan Akuan Pendapatan
4. Menjelaskan Bil Yuran Pelajar sebelum hari pendaftaran
5. Membuat pemeriksaan kesihatan di klinik kerajaan / swasta
6. Suntikan Typhoid (semua pelajar baru Fakulti Pengurusan Hotel dan Pelancongan kecuali yang akan mengikuti program Diploma dan Ijazah Sarjana Muda Pengurusan Pelancongan)
7. Pemeriksaan hepatitis B dan C serta HIV diwajibkan bagi pelajar Program Pengajian Perubatan, Pergigian, Kejururawatan dan Teknologi Makmal Perubatan
8. Penyediaan gambar ukuran pasport sebanyak lapan (8) keping
9. Penyediaan keperluan peribadi seperti duit saku yang berpatutan untuk membeli keperluan harian, peralatan, peralatan kuliah dan buku. Selain itu, bantal dan sarung bantal, cadar, kasut dan pakaian sukan, kasut dan pakaian formal, kelengkapan solat, baldi, sabun dan sebagainya.
10. Melapor diri pada tarikh, masa dan kampus yang dinyatakan dalam surat tawaran"
apakah yang perlu saya lengkapkan sebelum hari pendaftaran,"Sebelum hari pendaftaran, anda perlu : 
1. Lengkapkan semua borang yang disertakan di dalam Panduan Pendaftaran 
2. Menjelaskan bil bayaran yuran pelajar 
3. Pemeriksaan kesihatan 
4. Suntikan typhoid 
5. Pemeriksaan Hepatitis B dan C, HIV serta rabun/buta warna 
6. Penyediaan gambar 
7. Keperluan peribadi 
8. Melapor diri"
apa saya kena lengkapkan sebelum daftar,"Sebelum hari pendaftaran, anda perlu : 
1. Lengkapkan semua borang yang disertakan di dalam Panduan Pendaftaran 
2. Menjelaskan bil bayaran yuran pelajar 
3. Pemeriksaan kesihatan 
4. Suntikan typhoid 
5. Pemeriksaan Hepatitis B dan C, HIV serta rabun/buta warna 
6. Penyediaan gambar 
7. Keperluan peribadi 
8. Melapor diri"
sebelum daftar saya kena buat apa,"Sebelum hari pendaftaran, anda perlu : 
1. Lengkapkan semua borang yang disertakan di dalam Panduan Pendaftaran 
2. Menjelaskan bil bayaran yuran pelajar 
3. Pemeriksaan kesihatan 
4. Suntikan typhoid 
5. Pemeriksaan Hepatitis B dan C, HIV serta rabun/buta warna 
6. Penyediaan gambar 
7. Keperluan peribadi 
8. Melapor diri"
saya nak kena buat apa sebelum hari pendaftaran,"Sebelum hari pendaftaran, anda perlu : 
1. Lengkapkan semua borang yang disertakan di dalam Panduan Pendaftaran 
2. Menjelaskan bil bayaran yuran pelajar 
3. Pemeriksaan kesihatan 
4. Suntikan typhoid 
5. Pemeriksaan Hepatitis B dan C, HIV serta rabun/buta warna 
6. Penyediaan gambar 
7. Keperluan peribadi 
8. Melapor diri"
"sebelum hari pendaftaran, apa perlu saya lakukan","Sebelum hari pendaftaran, anda perlu : 
1. Lengkapkan semua borang yang disertakan di dalam Panduan Pendaftaran 
2. Menjelaskan bil bayaran yuran pelajar 
3. Pemeriksaan kesihatan 
4. Suntikan typhoid 
5. Pemeriksaan Hepatitis B dan C, HIV serta rabun/buta warna 
6. Penyediaan gambar 
7. Keperluan peribadi 
8. Melapor diri"
senaraikan perkara yang perlu saya lengkapkan sebelum hari pendaftaran,"Sebelum hari pendaftaran, anda perlu : 
1. Lengkapkan semua borang yang disertakan di dalam Panduan Pendaftaran 
2. Menjelaskan bil bayaran yuran pelajar 
3. Pemeriksaan kesihatan 
4. Suntikan typhoid 
5. Pemeriksaan Hepatitis B dan C, HIV serta rabun/buta warna 
6. Penyediaan gambar 
7. Keperluan peribadi 
8. Melapor diri"
apakah dokumen asal yang perlu saya bawa semasa pendaftaran,"1. Surat Tawaran yang dicetak dari laman web http://istudent.uitm.edu.my/intake
2. Borang Pendaftaran Pelajar Baru
3. Borang Maklumat Pelajar Baru bertampal gambar
4. Bil Bayaran Yuran Pelajar yang telah dijelaskan
5. Kad Pengenalan pelajar\n6. Sijil Kelahiran pelajar
7. SPM/SPMV/setaraf (bagi calon semua program)
8. STPM/ Asasi/ Matrikulasi/ setaraf (bagi pelajar Ijazah Sarjana Muda)
9. Surat Pengesahan Tamat Pengajian (pelajar lulusan Diploma/ Ijazah IPT lain yang belum menghadiri konvokesyen)
10. Skrol Diploma/ Ijazah (bagi lulusan IPT lain)
11. Transkrip penuh semester satu (1) hingga semester akhir (Diploma/ Ijazah IPT lain)
12. Keputusan MUET (bagi pelajar Ijazah Sarjana Muda)
13. Gambar berukuran pasport sebanyak lapan (8) keping
14. Laporan Pemeriksaan Kesihatan dan Filem X-Ray
15. Surat Pengesahan suntikan typhoid daripada pegawai perubatan (yang berkenaan sahaja)
16. Dokumen sokongan yang berkaitan (jika ada)"
senarai dokumen asal,"1. Surat Tawaran yang dicetak dari laman web http://istudent.uitm.edu.my/intake
2. Borang Pendaftaran Pelajar Baru
3. Borang Maklumat Pelajar Baru bertampal gambar
4. Bil Bayaran Yuran Pelajar yang telah dijelaskan
5. Kad Pengenalan pelajar\n6. Sijil Kelahiran pelajar
7. SPM/SPMV/setaraf (bagi calon semua program)
8. STPM/ Asasi/ Matrikulasi/ setaraf (bagi pelajar Ijazah Sarjana Muda)
9. Surat Pengesahan Tamat Pengajian (pelajar lulusan Diploma/ Ijazah IPT lain yang belum menghadiri konvokesyen)
10. Skrol Diploma/ Ijazah (bagi lulusan IPT lain)
11. Transkrip penuh semester satu (1) hingga semester akhir (Diploma/ Ijazah IPT lain)
12. Keputusan MUET (bagi pelajar Ijazah Sarjana Muda)
13. Gambar berukuran pasport sebanyak lapan (8) keping
14. Laporan Pemeriksaan Kesihatan dan Filem X-Ray
15. Surat Pengesahan suntikan typhoid daripada pegawai perubatan (yang berkenaan sahaja)
16. Dokumen sokongan yang berkaitan (jika ada)"
tolong senaraikan dokumen asal yang perlu saya bawa,"1. Surat Tawaran yang dicetak dari laman web http://istudent.uitm.edu.my/intake
2. Borang Pendaftaran Pelajar Baru
3. Borang Maklumat Pelajar Baru bertampal gambar
4. Bil Bayaran Yuran Pelajar yang telah dijelaskan
5. Kad Pengenalan pelajar\n6. Sijil Kelahiran pelajar
7. SPM/SPMV/setaraf (bagi calon semua program)
8. STPM/ Asasi/ Matrikulasi/ setaraf (bagi pelajar Ijazah Sarjana Muda)
9. Surat Pengesahan Tamat Pengajian (pelajar lulusan Diploma/ Ijazah IPT lain yang belum menghadiri konvokesyen)
10. Skrol Diploma/ Ijazah (bagi lulusan IPT lain)
11. Transkrip penuh semester satu (1) hingga semester akhir (Diploma/ Ijazah IPT lain)
12. Keputusan MUET (bagi pelajar Ijazah Sarjana Muda)
13. Gambar berukuran pasport sebanyak lapan (8) keping
14. Laporan Pemeriksaan Kesihatan dan Filem X-Ray
15. Surat Pengesahan suntikan typhoid daripada pegawai perubatan (yang berkenaan sahaja)
16. Dokumen sokongan yang berkaitan (jika ada)"
dokumen asal apa yang saya perlu ada,"1. Surat Tawaran yang dicetak dari laman web http://istudent.uitm.edu.my/intake
2. Borang Pendaftaran Pelajar Baru
3. Borang Maklumat Pelajar Baru bertampal gambar
4. Bil Bayaran Yuran Pelajar yang telah dijelaskan
5. Kad Pengenalan pelajar\n6. Sijil Kelahiran pelajar
7. SPM/SPMV/setaraf (bagi calon semua program)
8. STPM/ Asasi/ Matrikulasi/ setaraf (bagi pelajar Ijazah Sarjana Muda)
9. Surat Pengesahan Tamat Pengajian (pelajar lulusan Diploma/ Ijazah IPT lain yang belum menghadiri konvokesyen)
10. Skrol Diploma/ Ijazah (bagi lulusan IPT lain)
11. Transkrip penuh semester satu (1) hingga semester akhir (Diploma/ Ijazah IPT lain)
12. Keputusan MUET (bagi pelajar Ijazah Sarjana Muda)
13. Gambar berukuran pasport sebanyak lapan (8) keping
14. Laporan Pemeriksaan Kesihatan dan Filem X-Ray
15. Surat Pengesahan suntikan typhoid daripada pegawai perubatan (yang berkenaan sahaja)
16. Dokumen sokongan yang berkaitan (jika ada)"
"hari pendaftaran, dokumen mana yang perlu salinan asal","1. Surat Tawaran yang dicetak dari laman web http://istudent.uitm.edu.my/intake
2. Borang Pendaftaran Pelajar Baru
3. Borang Maklumat Pelajar Baru bertampal gambar
4. Bil Bayaran Yuran Pelajar yang telah dijelaskan
5. Kad Pengenalan pelajar\n6. Sijil Kelahiran pelajar
7. SPM/SPMV/setaraf (bagi calon semua program)
8. STPM/ Asasi/ Matrikulasi/ setaraf (bagi pelajar Ijazah Sarjana Muda)
9. Surat Pengesahan Tamat Pengajian (pelajar lulusan Diploma/ Ijazah IPT lain yang belum menghadiri konvokesyen)
10. Skrol Diploma/ Ijazah (bagi lulusan IPT lain)
11. Transkrip penuh semester satu (1) hingga semester akhir (Diploma/ Ijazah IPT lain)
12. Keputusan MUET (bagi pelajar Ijazah Sarjana Muda)
13. Gambar berukuran pasport sebanyak lapan (8) keping
14. Laporan Pemeriksaan Kesihatan dan Filem X-Ray
15. Surat Pengesahan suntikan typhoid daripada pegawai perubatan (yang berkenaan sahaja)
16. Dokumen sokongan yang berkaitan (jika ada)"
dokumen mana yang saya kena ada salinan asal,"1. Surat Tawaran yang dicetak dari laman web http://istudent.uitm.edu.my/intake
2. Borang Pendaftaran Pelajar Baru
3. Borang Maklumat Pelajar Baru bertampal gambar
4. Bil Bayaran Yuran Pelajar yang telah dijelaskan
5. Kad Pengenalan pelajar\n6. Sijil Kelahiran pelajar
7. SPM/SPMV/setaraf (bagi calon semua program)
8. STPM/ Asasi/ Matrikulasi/ setaraf (bagi pelajar Ijazah Sarjana Muda)
9. Surat Pengesahan Tamat Pengajian (pelajar lulusan Diploma/ Ijazah IPT lain yang belum menghadiri konvokesyen)
10. Skrol Diploma/ Ijazah (bagi lulusan IPT lain)
11. Transkrip penuh semester satu (1) hingga semester akhir (Diploma/ Ijazah IPT lain)
12. Keputusan MUET (bagi pelajar Ijazah Sarjana Muda)
13. Gambar berukuran pasport sebanyak lapan (8) keping
14. Laporan Pemeriksaan Kesihatan dan Filem X-Ray
15. Surat Pengesahan suntikan typhoid daripada pegawai perubatan (yang berkenaan sahaja)
16. Dokumen sokongan yang berkaitan (jika ada)"
apa yang perlu saya lakukan sekiranya saya kehilangan mana-mana dokumen,"1. Sekiranya kehilangan sijil SPM/SPMV anda perlu mendapatkan salinan yang dikeluarkan oleh Lembaga Peperiksaan Malaysia manakala sijil STPM mendapatkan salinan yang dikeluarkan oleh Majlis Peperiksaan Malaysia. 
2. Sekiranya kehilangan sijil kelahiran pelajar/ibu/bapa anda perlu mendapatkan semula sijil kelahiran yang baru di Jabatan Pendaftaran Negara.
3. Sekiranya kehilangan Kad Pengenalan pelajar/ibu/bapa anda perlu membuat Kad Pengenalan sementara. 
4. Bagi ibu/ bapa yang telah meninggal dunia, salinan sijil kelahiran ibu/ bapa tidak perlu dibawa semasa hari pendaftaran."
"kalau hilang mana-mana dokumen, apa saya kena buat","1. Sekiranya kehilangan sijil SPM/SPMV anda perlu mendapatkan salinan yang dikeluarkan oleh Lembaga Peperiksaan Malaysia manakala sijil STPM mendapatkan salinan yang dikeluarkan oleh Majlis Peperiksaan Malaysia. 
2. Sekiranya kehilangan sijil kelahiran pelajar/ibu/bapa anda perlu mendapatkan semula sijil kelahiran yang baru di Jabatan Pendaftaran Negara.
3. Sekiranya kehilangan Kad Pengenalan pelajar/ibu/bapa anda perlu membuat Kad Pengenalan sementara. 
4. Bagi ibu/ bapa yang telah meninggal dunia, salinan sijil kelahiran ibu/ bapa tidak perlu dibawa semasa hari pendaftaran."
saya kena buat apa kalau ada dokumen hilang,"1. Sekiranya kehilangan sijil SPM/SPMV anda perlu mendapatkan salinan yang dikeluarkan oleh Lembaga Peperiksaan Malaysia manakala sijil STPM mendapatkan salinan yang dikeluarkan oleh Majlis Peperiksaan Malaysia. 
2. Sekiranya kehilangan sijil kelahiran pelajar/ibu/bapa anda perlu mendapatkan semula sijil kelahiran yang baru di Jabatan Pendaftaran Negara.
3. Sekiranya kehilangan Kad Pengenalan pelajar/ibu/bapa anda perlu membuat Kad Pengenalan sementara. 
4. Bagi ibu/ bapa yang telah meninggal dunia, salinan sijil kelahiran ibu/ bapa tidak perlu dibawa semasa hari pendaftaran."
kalau ada dokumen saya tak jumpa nak buat apa,"1. Sekiranya kehilangan sijil SPM/SPMV anda perlu mendapatkan salinan yang dikeluarkan oleh Lembaga Peperiksaan Malaysia manakala sijil STPM mendapatkan salinan yang dikeluarkan oleh Majlis Peperiksaan Malaysia. 
2. Sekiranya kehilangan sijil kelahiran pelajar/ibu/bapa anda perlu mendapatkan semula sijil kelahiran yang baru di Jabatan Pendaftaran Negara.
3. Sekiranya kehilangan Kad Pengenalan pelajar/ibu/bapa anda perlu membuat Kad Pengenalan sementara. 
4. Bagi ibu/ bapa yang telah meninggal dunia, salinan sijil kelahiran ibu/ bapa tidak perlu dibawa semasa hari pendaftaran."
dokumen yang hilang tu macam mana saya nak buat,"1. Sekiranya kehilangan sijil SPM/SPMV anda perlu mendapatkan salinan yang dikeluarkan oleh Lembaga Peperiksaan Malaysia manakala sijil STPM mendapatkan salinan yang dikeluarkan oleh Majlis Peperiksaan Malaysia. 
2. Sekiranya kehilangan sijil kelahiran pelajar/ibu/bapa anda perlu mendapatkan semula sijil kelahiran yang baru di Jabatan Pendaftaran Negara.
3. Sekiranya kehilangan Kad Pengenalan pelajar/ibu/bapa anda perlu membuat Kad Pengenalan sementara. 
4. Bagi ibu/ bapa yang telah meninggal dunia, salinan sijil kelahiran ibu/ bapa tidak perlu dibawa semasa hari pendaftaran."
tolong saya dokumen saya hilang,"1. Sekiranya kehilangan sijil SPM/SPMV anda perlu mendapatkan salinan yang dikeluarkan oleh Lembaga Peperiksaan Malaysia manakala sijil STPM mendapatkan salinan yang dikeluarkan oleh Majlis Peperiksaan Malaysia. 
2. Sekiranya kehilangan sijil kelahiran pelajar/ibu/bapa anda perlu mendapatkan semula sijil kelahiran yang baru di Jabatan Pendaftaran Negara.
3. Sekiranya kehilangan Kad Pengenalan pelajar/ibu/bapa anda perlu membuat Kad Pengenalan sementara. 
4. Bagi ibu/ bapa yang telah meninggal dunia, salinan sijil kelahiran ibu/ bapa tidak perlu dibawa semasa hari pendaftaran."
apakah salinan dokumen yang perlu saya bawa semasa pendaftaran,"1. Salinan Kad Pengenalan pelajar, ibu dan bapa
2. Salinan Sijil Kelahiran pelajar, ibu dan bapa
3. Salinan SPM/SPMV/setaraf (bagi calon semua program)
4. Salinan STPM/ Asasi/ Matrikulasi/ setaraf
5. Salinan Surat Pengesahan Tamat Pengajian (pelajar lulusan Diploma/ Ijazah IPT lain yang belum menghadiri konvokesyen)
6. Salinan Skrol Sijil/ Diploma/ Ijazah (bagi lulusan IPT lain)
7. Salinan Transkrip penuh semester satu (1) hingga semester akhir (Diploma/ Ijazah IPT lain)
8. Salinan keputusan MUET bagi program Ijazah Sarjana Muda sahaja

Perlu diingatkan bahawa : 
     a. Dokumen salinan (1-7) hendaklah disediakan dengan menggunakan kertas bersaiz A4 dan perlu mendapat pengesahan daripada Pegawai Kerajaan Kumpulan A/ Pengetua/ Gurubesar/ Guru Penolong Kanan/ Wakil Rakyat/ Penggawa /Penghulu/ Ketua Kampung/ Pengerusi JKKK(Jawatankuasa Kemajuan dan Keselamatan Kampung)/ Ketua Kaum/ Ketua Anak Negeri.
     b. Semua pegawai atau saksi hendaklah warganegara Malaysia yang bermastautin di Malaysia. Cop pegawai atau saksi hendaklah mempunyai nama dan jawatan pegawai serta jabatan atau alamat dimana pegawai bertugas."
senarai dokumen salinan,"1. Salinan Kad Pengenalan pelajar, ibu dan bapa
2. Salinan Sijil Kelahiran pelajar, ibu dan bapa
3. Salinan SPM/SPMV/setaraf (bagi calon semua program)
4. Salinan STPM/ Asasi/ Matrikulasi/ setaraf
5. Salinan Surat Pengesahan Tamat Pengajian (pelajar lulusan Diploma/ Ijazah IPT lain yang belum menghadiri konvokesyen)
6. Salinan Skrol Sijil/ Diploma/ Ijazah (bagi lulusan IPT lain)
7. Salinan Transkrip penuh semester satu (1) hingga semester akhir (Diploma/ Ijazah IPT lain)
8. Salinan keputusan MUET bagi program Ijazah Sarjana Muda sahaja

Perlu diingatkan bahawa : 
     a. Dokumen salinan (1-7) hendaklah disediakan dengan menggunakan kertas bersaiz A4 dan perlu mendapat pengesahan daripada Pegawai Kerajaan Kumpulan A/ Pengetua/ Gurubesar/ Guru Penolong Kanan/ Wakil Rakyat/ Penggawa /Penghulu/ Ketua Kampung/ Pengerusi JKKK(Jawatankuasa Kemajuan dan Keselamatan Kampung)/ Ketua Kaum/ Ketua Anak Negeri.
     b. Semua pegawai atau saksi hendaklah warganegara Malaysia yang bermastautin di Malaysia. Cop pegawai atau saksi hendaklah mempunyai nama dan jawatan pegawai serta jabatan atau alamat dimana pegawai bertugas."
saya kena bawa salinan dokumen mana,"1. Salinan Kad Pengenalan pelajar, ibu dan bapa
2. Salinan Sijil Kelahiran pelajar, ibu dan bapa
3. Salinan SPM/SPMV/setaraf (bagi calon semua program)
4. Salinan STPM/ Asasi/ Matrikulasi/ setaraf
5. Salinan Surat Pengesahan Tamat Pengajian (pelajar lulusan Diploma/ Ijazah IPT lain yang belum menghadiri konvokesyen)
6. Salinan Skrol Sijil/ Diploma/ Ijazah (bagi lulusan IPT lain)
7. Salinan Transkrip penuh semester satu (1) hingga semester akhir (Diploma/ Ijazah IPT lain)
8. Salinan keputusan MUET bagi program Ijazah Sarjana Muda sahaja

Perlu diingatkan bahawa : 
     a. Dokumen salinan (1-7) hendaklah disediakan dengan menggunakan kertas bersaiz A4 dan perlu mendapat pengesahan daripada Pegawai Kerajaan Kumpulan A/ Pengetua/ Gurubesar/ Guru Penolong Kanan/ Wakil Rakyat/ Penggawa /Penghulu/ Ketua Kampung/ Pengerusi JKKK(Jawatankuasa Kemajuan dan Keselamatan Kampung)/ Ketua Kaum/ Ketua Anak Negeri.
     b. Semua pegawai atau saksi hendaklah warganegara Malaysia yang bermastautin di Malaysia. Cop pegawai atau saksi hendaklah mempunyai nama dan jawatan pegawai serta jabatan atau alamat dimana pegawai bertugas."
dokumen salinan yang mana satu,"1. Salinan Kad Pengenalan pelajar, ibu dan bapa
2. Salinan Sijil Kelahiran pelajar, ibu dan bapa
3. Salinan SPM/SPMV/setaraf (bagi calon semua program)
4. Salinan STPM/ Asasi/ Matrikulasi/ setaraf
5. Salinan Surat Pengesahan Tamat Pengajian (pelajar lulusan Diploma/ Ijazah IPT lain yang belum menghadiri konvokesyen)
6. Salinan Skrol Sijil/ Diploma/ Ijazah (bagi lulusan IPT lain)
7. Salinan Transkrip penuh semester satu (1) hingga semester akhir (Diploma/ Ijazah IPT lain)
8. Salinan keputusan MUET bagi program Ijazah Sarjana Muda sahaja

Perlu diingatkan bahawa : 
     a. Dokumen salinan (1-7) hendaklah disediakan dengan menggunakan kertas bersaiz A4 dan perlu mendapat pengesahan daripada Pegawai Kerajaan Kumpulan A/ Pengetua/ Gurubesar/ Guru Penolong Kanan/ Wakil Rakyat/ Penggawa /Penghulu/ Ketua Kampung/ Pengerusi JKKK(Jawatankuasa Kemajuan dan Keselamatan Kampung)/ Ketua Kaum/ Ketua Anak Negeri.
     b. Semua pegawai atau saksi hendaklah warganegara Malaysia yang bermastautin di Malaysia. Cop pegawai atau saksi hendaklah mempunyai nama dan jawatan pegawai serta jabatan atau alamat dimana pegawai bertugas."
dokumen apa yang perlukan salinan,"1. Salinan Kad Pengenalan pelajar, ibu dan bapa
2. Salinan Sijil Kelahiran pelajar, ibu dan bapa
3. Salinan SPM/SPMV/setaraf (bagi calon semua program)
4. Salinan STPM/ Asasi/ Matrikulasi/ setaraf
5. Salinan Surat Pengesahan Tamat Pengajian (pelajar lulusan Diploma/ Ijazah IPT lain yang belum menghadiri konvokesyen)
6. Salinan Skrol Sijil/ Diploma/ Ijazah (bagi lulusan IPT lain)
7. Salinan Transkrip penuh semester satu (1) hingga semester akhir (Diploma/ Ijazah IPT lain)
8. Salinan keputusan MUET bagi program Ijazah Sarjana Muda sahaja

Perlu diingatkan bahawa : 
     a. Dokumen salinan (1-7) hendaklah disediakan dengan menggunakan kertas bersaiz A4 dan perlu mendapat pengesahan daripada Pegawai Kerajaan Kumpulan A/ Pengetua/ Gurubesar/ Guru Penolong Kanan/ Wakil Rakyat/ Penggawa /Penghulu/ Ketua Kampung/ Pengerusi JKKK(Jawatankuasa Kemajuan dan Keselamatan Kampung)/ Ketua Kaum/ Ketua Anak Negeri.
     b. Semua pegawai atau saksi hendaklah warganegara Malaysia yang bermastautin di Malaysia. Cop pegawai atau saksi hendaklah mempunyai nama dan jawatan pegawai serta jabatan atau alamat dimana pegawai bertugas."
berikan saya senarai dokumen yang perlukan salinan,"1. Salinan Kad Pengenalan pelajar, ibu dan bapa
2. Salinan Sijil Kelahiran pelajar, ibu dan bapa
3. Salinan SPM/SPMV/setaraf (bagi calon semua program)
4. Salinan STPM/ Asasi/ Matrikulasi/ setaraf
5. Salinan Surat Pengesahan Tamat Pengajian (pelajar lulusan Diploma/ Ijazah IPT lain yang belum menghadiri konvokesyen)
6. Salinan Skrol Sijil/ Diploma/ Ijazah (bagi lulusan IPT lain)
7. Salinan Transkrip penuh semester satu (1) hingga semester akhir (Diploma/ Ijazah IPT lain)
8. Salinan keputusan MUET bagi program Ijazah Sarjana Muda sahaja

Perlu diingatkan bahawa : 
     a. Dokumen salinan (1-7) hendaklah disediakan dengan menggunakan kertas bersaiz A4 dan perlu mendapat pengesahan daripada Pegawai Kerajaan Kumpulan A/ Pengetua/ Gurubesar/ Guru Penolong Kanan/ Wakil Rakyat/ Penggawa /Penghulu/ Ketua Kampung/ Pengerusi JKKK(Jawatankuasa Kemajuan dan Keselamatan Kampung)/ Ketua Kaum/ Ketua Anak Negeri.
     b. Semua pegawai atau saksi hendaklah warganegara Malaysia yang bermastautin di Malaysia. Cop pegawai atau saksi hendaklah mempunyai nama dan jawatan pegawai serta jabatan atau alamat dimana pegawai bertugas."
bagaimana sahsiah rupa diri,"Anda dikehendaki mematuhi etika seperti berikut semasa anda mendaftar di kolej kediaman UiTM Shah Alam/ Kampus UiTM Negeri.

SISWA
1. Memakai baju kemeja, berseluar slack dan berkasut. Seluar jeans TIDAK DIBENARKAN sama sekali.
2. Memakai tali leher/ baju batik lengan panjang
3. Berambut pendek dan kemas (dilarang mewarnakan rambut)
4. Dilarang bertindik/ memakai subang/ gelang/ rantai
5. Dilarang memakai kemeja tanpa kolar
6. Dilarang berselipar/ bercapal
7. Memakai pakaian formal yang kemas, bersih, menutup aurat dan bersopan.

SISWI
1. Memakai baju kurung/ baju batik dan berkasut
2. Seluar jeans TIDAK DIBENARKAN sama sekali
3. Dilarang mewarnakan rambut
4. Memakai pakaian formal yang kemas, bersih, menutup aurat dan bersopan."
sahsiah rupa diri tu macam mana,"Anda dikehendaki mematuhi etika seperti berikut semasa anda mendaftar di kolej kediaman UiTM Shah Alam/ Kampus UiTM Negeri.

SISWA
1. Memakai baju kemeja, berseluar slack dan berkasut. Seluar jeans TIDAK DIBENARKAN sama sekali.
2. Memakai tali leher/ baju batik lengan panjang
3. Berambut pendek dan kemas (dilarang mewarnakan rambut)
4. Dilarang bertindik/ memakai subang/ gelang/ rantai
5. Dilarang memakai kemeja tanpa kolar
6. Dilarang berselipar/ bercapal
7. Memakai pakaian formal yang kemas, bersih, menutup aurat dan bersopan.

SISWI
1. Memakai baju kurung/ baju batik dan berkasut
2. Seluar jeans TIDAK DIBENARKAN sama sekali
3. Dilarang mewarnakan rambut
4. Memakai pakaian formal yang kemas, bersih, menutup aurat dan bersopan."
sahsiah rupa diri nak kena pakai macam mana,"Anda dikehendaki mematuhi etika seperti berikut semasa anda mendaftar di kolej kediaman UiTM Shah Alam/ Kampus UiTM Negeri.

SISWA
1. Memakai baju kemeja, berseluar slack dan berkasut. Seluar jeans TIDAK DIBENARKAN sama sekali.
2. Memakai tali leher/ baju batik lengan panjang
3. Berambut pendek dan kemas (dilarang mewarnakan rambut)
4. Dilarang bertindik/ memakai subang/ gelang/ rantai
5. Dilarang memakai kemeja tanpa kolar
6. Dilarang berselipar/ bercapal
7. Memakai pakaian formal yang kemas, bersih, menutup aurat dan bersopan.

SISWI
1. Memakai baju kurung/ baju batik dan berkasut
2. Seluar jeans TIDAK DIBENARKAN sama sekali
3. Dilarang mewarnakan rambut
4. Memakai pakaian formal yang kemas, bersih, menutup aurat dan bersopan."
untuk pelajar lelaki kena pakai macam mana,"Anda dikehendaki mematuhi etika seperti berikut semasa anda mendaftar di kolej kediaman UiTM Shah Alam/ Kampus UiTM Negeri.

SISWA
1. Memakai baju kemeja, berseluar slack dan berkasut. Seluar jeans TIDAK DIBENARKAN sama sekali.
2. Memakai tali leher/ baju batik lengan panjang
3. Berambut pendek dan kemas (dilarang mewarnakan rambut)
4. Dilarang bertindik/ memakai subang/ gelang/ rantai
5. Dilarang memakai kemeja tanpa kolar
6. Dilarang berselipar/ bercapal
7. Memakai pakaian formal yang kemas, bersih, menutup aurat dan bersopan.

SISWI
1. Memakai baju kurung/ baju batik dan berkasut
2. Seluar jeans TIDAK DIBENARKAN sama sekali
3. Dilarang mewarnakan rambut
4. Memakai pakaian formal yang kemas, bersih, menutup aurat dan bersopan."
nak pakai jeans boleh tak,"Anda dikehendaki mematuhi etika seperti berikut semasa anda mendaftar di kolej kediaman UiTM Shah Alam/ Kampus UiTM Negeri.

SISWA
1. Memakai baju kemeja, berseluar slack dan berkasut. Seluar jeans TIDAK DIBENARKAN sama sekali.
2. Memakai tali leher/ baju batik lengan panjang
3. Berambut pendek dan kemas (dilarang mewarnakan rambut)
4. Dilarang bertindik/ memakai subang/ gelang/ rantai
5. Dilarang memakai kemeja tanpa kolar
6. Dilarang berselipar/ bercapal
7. Memakai pakaian formal yang kemas, bersih, menutup aurat dan bersopan.

SISWI
1. Memakai baju kurung/ baju batik dan berkasut
2. Seluar jeans TIDAK DIBENARKAN sama sekali
3. Dilarang mewarnakan rambut
4. Memakai pakaian formal yang kemas, bersih, menutup aurat dan bersopan."
siswi kena berpakaian apa,"Anda dikehendaki mematuhi etika seperti berikut semasa anda mendaftar di kolej kediaman UiTM Shah Alam/ Kampus UiTM Negeri.

SISWA
1. Memakai baju kemeja, berseluar slack dan berkasut. Seluar jeans TIDAK DIBENARKAN sama sekali.
2. Memakai tali leher/ baju batik lengan panjang
3. Berambut pendek dan kemas (dilarang mewarnakan rambut)
4. Dilarang bertindik/ memakai subang/ gelang/ rantai
5. Dilarang memakai kemeja tanpa kolar
6. Dilarang berselipar/ bercapal
7. Memakai pakaian formal yang kemas, bersih, menutup aurat dan bersopan.

SISWI
1. Memakai baju kurung/ baju batik dan berkasut
2. Seluar jeans TIDAK DIBENARKAN sama sekali
3. Dilarang mewarnakan rambut
4. Memakai pakaian formal yang kemas, bersih, menutup aurat dan bersopan."
